Date,TempLow,TempHigh,TempMean,RHLow,RHHigh,SolarRadiation,WindSpeed,Rainfall,CumulativeRainfall,ETRef,ETCrop,Irrigation,NetWater,CumNet
5/1/2022,41.7,47.6,44.65,80.1,94.3,50.77,0.05,0,0,0.04,0.04,0,-0.04,-0.04
5/2/2022,39.4,50.1,44.75,56.6,83.9,128.2,0,0,0,0.07,0.07,0,-0.07,-0.1
5/3/2022,42.3,59,50.65,46,75.4,258.94,0,0,0,0.12,0.12,0,-0.12,-0.22
5/4/2022,35.9,65.4,50.65,43.3,77.3,254.22,0,0,0,0.12,0.12,0,-0.12,-0.34
5/5/2022,43.9,66.9,55.4,43,75.5,147.55,0,0,0,0.09,0.09,0,-0.09,-0.43
5/6/2022,42.9,73.3,58.1,27.7,79.1,292.7,0,0,0,0.15,0.15,0,-0.15,-0.58
5/7/2022,50.7,74,62.35,30.6,66.1,284.02,0.26,0,0,0.15,0.15,0,-0.15,-0.73
5/8/2022,51.8,66.1,58.95,43.3,80.3,91.99,0.27,0.01,0.01,0.07,0.07,0,-0.06,-0.79
5/9/2022,56.6,82.4,69.5,57.9,74.7,95.31,0.18,0,0.01,0.08,0.08,0,-0.08,-0.87
5/10/2022,58.3,79.8,69.05,32.5,69.6,327.77,0,0,0.01,0.19,0.19,0,-0.19,-1.06
5/11/2022,61.7,78.1,69.9,35.6,94.4,99.38,0.11,0.01,0.02,0.09,0.09,0,-0.08,-1.14
5/12/2022,58.1,92.7,75.4,39.5,95.6,195.34,0.08,0,0.02,0.14,0.14,0,-0.14,-1.28
5/13/2022,61,74.7,67.85,43.2,92.9,254.26,0,0.4,0.42,0.15,0.15,0,0.25,-1.03
5/14/2022,55.8,73.9,64.85,38.8,76.5,268.06,0.02,0,0.42,0.15,0.15,0,-0.15,-1.18
5/15/2022,50.9,73.1,62,33.8,75.9,226.88,0.01,0,0.42,0.13,0.13,0,-0.13,-1.32
5/16/2022,52.3,69.8,61.05,36.4,71.6,298.08,0,0,0.42,0.16,0.16,0,-0.16,-1.47
5/17/2022,46.7,74.9,60.8,38.3,87.1,224.43,0,0.04,0.46,0.13,0.13,0,-0.09,-1.56
5/18/2022,54.6,73.8,64.2,45.8,90.8,225.11,0,0.06,0.52,0.13,0.13,0,-0.07,-1.64
5/19/2022,48.9,71.7,60.3,50.9,91.8,187.61,0,0.61,1.13,0.11,0.11,0,0.5,-1.14
5/20/2022,47,64,55.5,53.8,91.4,140.58,0.01,0.05,1.18,0.09,0.09,0,-0.04,-1.18
5/21/2022,41.9,55,48.45,47.4,70.1,172.72,0,0,1.18,0.09,0.09,0,-0.09,-1.26
5/22/2022,38,57.6,47.8,40.8,74.8,194.66,0,0,1.18,0.1,0.1,0,-0.1,-1.36
5/23/2022,41.7,66.9,54.3,34.3,76.2,294.16,0,0,1.18,0.14,0.14,0,-0.14,-1.51
5/24/2022,49.5,69.9,59.7,32.5,66.8,263.5,0,0,1.18,0.14,0.14,0,-0.14,-1.65
5/25/2022,46.4,60,53.2,55.3,93.1,34.82,0,0.6,1.78,0.04,0.04,0,0.56,-1.09
5/26/2022,45.4,61.1,53.25,62.4,92.6,115.89,0,0.04,1.82,0.07,0.07,0,-0.03,-1.12
5/27/2022,43.3,77.9,60.6,45,95.2,304.54,0,0,1.82,0.17,0.17,0,-0.17,-1.29
5/28/2022,58.6,90.3,74.45,43,85.1,207.29,0.25,0.16,1.98,0.15,0.15,0,0.01,-1.28
5/29/2022,64.2,81.2,72.7,61,86.5,148.63,0.25,0.01,1.99,0.11,0.11,0,-0.1,-1.38
5/30/2022,64.2,86.6,75.4,46.4,91.3,139.03,0.55,0.61,2.6,0.11,0.11,0,0.5,-0.88
5/31/2022,56.8,70.6,63.7,49.6,76.8,148.14,0.28,0.01,2.61,0.1,0.1,0,-0.09,-0.97
6/1/2022,48.3,68.8,58.55,43.2,92.6,261.76,0,0,2.61,0.14,0.14,0,-0.14,-1.11
6/2/2022,51,75.5,63.25,30.5,68.7,296.57,0.14,0,2.61,0.17,0.17,0,-0.17,-1.28
6/3/2022,50.3,69.6,59.95,31.8,63.9,327.4,0,0,2.61,0.17,0.17,0,-0.17,-1.45
6/4/2022,52.9,72,62.45,49.4,75.1,239,0,0,2.61,0.14,0.14,0,-0.14,-1.59
6/5/2022,56.2,72.8,64.5,55.8,87.3,183.59,0,0,2.61,0.12,0.12,0,-0.12,-1.71
6/6/2022,56.8,76.3,66.55,47.4,92.1,259.05,0,0.14,2.75,0.16,0.16,0,-0.02,-1.72
