Date,TempLow,TempHigh,TempMean,RHLow,RHHigh,SolarRadiation,WindSpeed,Rainfall,CumulativeRainfall,ETRef,ETCrop,Irrigation,NetWater,CumNet
05/01/22,41.7,47.6,44.65,80.1,94.3,50.77,0.05,0,0,0.04,0.04,0,-0.04,-0.04
05/02/22,39.4,50.1,44.75,56.6,83.9,128.2,0,0,0,0.07,0.07,0,-0.07,-0.1
05/03/22,42.3,59,50.65,46,75.4,258.94,0,0,0,0.12,0.12,0,-0.12,-0.22
05/04/22,35.9,65.4,50.65,43.3,77.3,254.22,0,0,0,0.12,0.12,0,-0.12,-0.34
05/05/22,43.9,66.9,55.4,43,75.5,147.55,0,0,0,0.09,0.09,0,-0.09,-0.43
05/06/22,42.9,73.3,58.1,27.7,79.1,292.7,0,0,0,0.15,0.15,0,-0.15,-0.58
05/07/22,50.7,74,62.35,30.6,66.1,284.02,0.26,0,0,0.15,0.15,0,-0.15,-0.73
05/08/22,51.8,66.1,58.95,43.3,80.3,91.99,0.27,0.01,0.01,0.07,0.07,0,-0.06,-0.79
05/09/22,56.6,82.4,69.5,57.9,74.7,95.31,0.18,0,0.01,0.08,0.08,0,-0.08,-0.87
05/10/22,58.3,79.8,69.05,32.5,69.6,327.77,0,0,0.01,0.19,0.19,0,-0.19,-1.06
05/11/22,61.7,78.1,69.9,35.6,94.4,99.38,0.11,0.01,0.02,0.09,0.09,0,-0.08,-1.14
05/12/22,58.1,92.7,75.4,39.5,95.6,195.34,0.08,0,0.02,0.14,0.14,0,-0.14,-1.28
05/13/22,61,74.7,67.85,43.2,92.9,254.26,0,0.4,0.42,0.15,0.15,0,0.25,-1.03
05/14/22,55.8,73.9,64.85,38.8,76.5,268.06,0.02,0,0.42,0.15,0.15,0,-0.15,-1.18
05/15/22,50.9,73.1,62,33.8,75.9,226.88,0.01,0,0.42,0.13,0.13,0,-0.13,-1.32
05/16/22,52.3,69.8,61.05,36.4,71.6,298.08,0,0,0.42,0.16,0.16,0,-0.16,-1.47
05/17/22,46.7,74.9,60.8,38.3,87.1,224.43,0,0.04,0.46,0.13,0.13,0,-0.09,-1.56
05/18/22,54.6,73.8,64.2,45.8,90.8,225.11,0,0.06,0.52,0.13,0.13,0,-0.07,-1.64
05/19/22,48.9,71.7,60.3,50.9,91.8,187.61,0,0.61,1.13,0.11,0.11,0,0.5,-1.14
05/20/22,47,64,55.5,53.8,91.4,140.58,0.01,0.05,1.18,0.09,0.09,0,-0.04,-1.18
05/21/22,41.9,55,48.45,47.4,70.1,172.72,0,0,1.18,0.09,0.09,0,-0.09,-1.26
05/22/22,38,57.6,47.8,40.8,74.8,194.66,0,0,1.18,0.1,0.1,0,-0.1,-1.36
05/23/22,41.7,66.9,54.3,34.3,76.2,294.16,0,0,1.18,0.14,0.14,0,-0.14,-1.51
