Observation ID,Date,Plot No,Rep,Species,PAW Trt,Irrigated After,TQ,NDVI Scan,NDRE Scan,FvFm,Absorptivity,Gmax,Percent Cover,Mean VWC,Min VWC,VWC at 7 AM,Suction Mean VWC,Suction Min VWC,Suction VWC at 7 AM
1,07/01/22,101,1,CBG,15,No,9,0.7678,0.2939,0.701,0.817,49,84.43346774,0.401822917,0.384,0.409,,,
2,07/01/22,102,1,CBG,60,No,9,0.7761,0.3001,0.704,0.844,47,87.38984283,0.364625,0.345,0.373,,,
3,07/01/22,103,2,CBG,15,No,8,0.7863,0.3103,0.704,0.829,46,89.46898561,0.36990625,0.352,0.38,,,
4,07/01/22,104,2,KBG,75,No,8,0.8116,0.3335,0.707,0.82,49.5,87.23246378,0.34903125,0.32,0.365,,,
5,07/01/22,105,3,CBG,15,No,9,0.7913,0.3063,0.711,0.849,45.5,92.3901574,0.316385417,0.289,0.331,,,
6,07/01/22,106,3,KBG,45,No,8,0.8045,0.3318,0.704,0.858,47.5,85.0373114,0.31484375,0.287,0.324,,,
7,07/01/22,201,1,CBG,30,No,9,0.7727,0.2973,0.69,0.8,47,87.58571333,0.405770833,0.391,0.413,,,
8,07/01/22,202,1,CBG,45,No,9,0.7897,0.3115,0.697,0.85,45.5,89.05312229,0.361760417,0.343,0.37,,,
9,07/01/22,203,2,KBG,45,No,8,0.8098,0.3458,0.707,0.841,47,90.63483771,0.36371875,0.34,0.376,,,
10,07/01/22,204,2,CBG,45,No,9,0.8116,0.3274,0.693,0.844,44.5,92.98780015,0.368479167,0.343,0.382,,,
11,07/01/22,205,3,CBG,45,No,9,0.7988,0.3158,0.699,0.833,45,92.66210011,0.361447917,0.341,0.372,,,
12,07/01/22,206,3,KBG,30,No,8,0.8205,0.3533,0.7,0.856,46,90.65473342,NA,NA,0.375,,,
13,07/01/22,301,1,KBG,75,No,9,0.8142,0.3328,0.708,0.874,45.5,91.01489988,NA,NA,0.416,,,
14,07/01/22,302,1,KBG,45,No,9,0.822,0.3448,0.708,0.872,45.5,90.60708661,NA,NA,0.398,,,
15,07/01/22,303,2,CBG,75,No,8,0.8202,0.3403,0.71,0.86,48,94.81288688,NA,NA,NA,,,
16,07/01/22,304,2,CBG,30,No,9,0.8314,0.3474,0.712,0.865,45.5,96.09036904,NA,NA,0.388,,,
17,07/01/22,305,3,KBG,75,No,9,0.8184,0.3424,0.708,0.861,46,89.4712171,NA,NA,0.378,,,
18,07/01/22,306,3,KBG,60,No,8,0.8161,0.3564,0.701,0.864,47,87.75252581,NA,NA,0.391,,,
19,07/01/22,401,1,KBG,60,No,9,0.8153,0.342,0.705,0.873,46.5,90.26545332,NA,NA,0.413,,,
20,07/01/22,402,1,KBG,15,No,9,0.8281,0.3551,0.71,0.864,46,91.51494802,NA,NA,0.411,,,
21,07/01/22,403,2,KBG,30,No,8,0.8344,0.3644,0.704,0.855,45,93.36068819,NA,NA,0.388,,,
22,07/01/22,404,2,CBG,60,No,9,0.832,0.3528,0.701,0.863,50,95.55193373,NA,NA,0.375,,,
23,07/01/22,405,3,CBG,60,No,8,0.82,0.3397,0.702,0.859,43,95.22165948,NA,NA,0.388,,,
24,07/01/22,406,3,KBG,15,No,9,0.8313,0.363,0.697,0.878,48,92.26143316,NA,NA,0.39,,,
25,07/01/22,501,1,KBG,30,No,9,0.8011,0.3261,0.699,0.844,53,87.42875833,NA,NA,0.409,,,
26,07/01/22,502,1,CBG,75,No,9,0.814,0.3322,0.704,0.851,44.5,93.28934311,NA,NA,0.418,,,
27,07/01/22,503,2,KBG,60,No,9,0.8292,0.3648,0.697,0.858,43,91.44240726,NA,NA,0.4,,,
28,07/01/22,504,2,KBG,15,No,9,0.836,0.3666,0.717,0.869,42.5,92.76173157,NA,NA,0.405,,,
29,07/01/22,505,3,CBG,75,No,9,0.826,0.3407,0.701,0.877,38,95.97696631,NA,NA,0.396,,,
30,07/01/22,506,3,CBG,30,No,8,NA,0.3521,0.705,0.872,41,95.87529801,NA,NA,0.391,,,
31,07/04/22,101,1,CBG,15,No,9,0.7578,0.2915,NA,NA,NA,87.97421483,0.40796875,0.395,0.395,,,
32,07/04/22,102,1,CBG,60,No,9,0.7442,0.2873,NA,NA,NA,90.37234233,0.363479167,0.348,0.348,,,
33,07/04/22,103,2,CBG,15,No,8,0.7867,0.3201,NA,NA,NA,91.79181252,0.370135417,0.356,0.356,,,
34,07/04/22,104,2,KBG,75,No,8,0.7823,0.3304,NA,NA,NA,90.37498397,0.350572917,0.333,0.333,,,
35,07/04/22,105,3,CBG,15,No,8,0.7838,0.3132,NA,NA,NA,94.61596668,0.316166667,0.297,0.297,,,
36,07/04/22,106,3,KBG,45,No,8,0.7814,0.3218,NA,NA,NA,92.70398397,0.314229167,0.295,0.297,,,
37,07/04/22,201,1,CBG,30,No,8,0.7547,0.29,NA,NA,NA,89.99202295,0.406552083,0.396,0.396,,,
38,07/04/22,202,1,CBG,45,No,9,0.7582,0.2986,NA,NA,NA,91.71352272,0.36375,0.349,0.35,,,
39,07/04/22,203,2,KBG,45,No,8,0.7957,0.3286,NA,NA,NA,91.50798244,0.363885417,0.347,0.348,,,
40,07/04/22,204,2,CBG,45,No,9,0.7778,0.3203,NA,NA,NA,96.30275672,0.368958333,0.351,0.352,,,
41,07/04/22,205,3,CBG,45,No,9,0.7911,0.3216,NA,NA,NA,95.66957699,0.359729167,0.346,0.347,,,
42,07/04/22,206,3,KBG,30,No,8,0.791,0.3344,NA,NA,NA,93.58465042,0.367447917,0.355,0.356,,,
43,07/04/22,301,1,KBG,75,No,9,0.8138,0.3336,NA,NA,NA,93.29144947,0.411479167,0.4,0.4,,,
44,07/04/22,302,1,KBG,45,No,9,0.8226,0.347,NA,NA,NA,92.22552079,0.388583333,0.376,0.376,,,
45,07/04/22,303,2,CBG,75,No,9,0.8101,0.34,NA,NA,NA,96.21372658,0.392479167,0.378,0.378,,,
46,07/04/22,304,2,CBG,30,No,9,0.7937,0.3284,NA,NA,NA,96.74106701,0.379375,0.365,0.365,,,
47,07/04/22,305,3,KBG,75,No,8,0.7925,0.34,NA,NA,NA,92.11083895,0.371052083,0.358,0.358,,,
48,07/04/22,306,3,KBG,60,No,8,0.8142,0.3536,NA,NA,NA,89.46601029,0.387052083,0.375,0.375,,,
49,07/04/22,401,1,KBG,60,No,8,0.8104,0.3371,NA,NA,NA,92.50523548,0.406677083,0.396,0.396,,,
50,07/04/22,402,1,KBG,15,No,9,0.8005,0.3428,NA,NA,NA,92.4781865,0.403625,0.393,0.393,,,
51,07/04/22,403,2,KBG,30,No,9,0.8276,0.3656,NA,NA,NA,94.26552562,0.378947917,0.367,0.367,,,
52,07/04/22,404,2,CBG,60,No,9,0.8216,0.3598,NA,NA,NA,97.05469198,0.3631875,0.349,0.349,,,
53,07/04/22,405,3,CBG,60,No,9,0.8099,0.3405,NA,NA,NA,97.14622473,0.3766875,0.364,0.364,,,
54,07/04/22,406,3,KBG,15,No,9,0.834,0.3625,NA,NA,NA,94.64624124,0.382479167,0.369,0.37,,,
55,07/04/22,501,1,KBG,30,No,8,0.8001,0.3287,NA,NA,NA,91.00070455,0.402947917,0.394,0.394,,,
