"Date","CumulativeRainfall","CumNet","Plot.No","Irrigated.After","Mean.VWC"
"07/01/22",3.64,-4.92,101,"No",0.401822917
"07/01/22",3.64,-4.92,102,"No",0.364625
"07/01/22",3.64,-4.92,103,"No",0.36990625
"07/01/22",3.64,-4.92,104,"No",0.34903125
"07/01/22",3.64,-4.92,105,"No",0.316385417
"07/01/22",3.64,-4.92,106,"No",0.31484375
"07/01/22",3.64,-4.92,201,"No",0.405770833
"07/01/22",3.64,-4.92,202,"No",0.361760417
"07/01/22",3.64,-4.92,203,"No",0.36371875
"07/01/22",3.64,-4.92,204,"No",0.368479167
"07/01/22",3.64,-4.92,205,"No",0.361447917
"07/04/22",4.24,-4.69,101,"No",0.40796875
"07/04/22",4.24,-4.69,102,"No",0.363479167
"07/04/22",4.24,-4.69,103,"No",0.370135417
"07/04/22",4.24,-4.69,104,"No",0.350572917
"07/04/22",4.24,-4.69,105,"No",0.316166667
"07/04/22",4.24,-4.69,106,"No",0.314229167
"07/04/22",4.24,-4.69,201,"No",0.406552083
"07/04/22",4.24,-4.69,202,"No",0.36375
"07/04/22",4.24,-4.69,203,"No",0.363885417
"07/04/22",4.24,-4.69,204,"No",0.368958333
"07/04/22",4.24,-4.69,205,"No",0.359729167
"07/04/22",4.24,-4.69,206,"No",0.367447917
"07/04/22",4.24,-4.69,301,"No",0.411479167
"07/04/22",4.24,-4.69,302,"No",0.388583333
"07/04/22",4.24,-4.69,303,"No",0.392479167
"07/04/22",4.24,-4.69,304,"No",0.379375
"07/04/22",4.24,-4.69,305,"No",0.371052083
"07/04/22",4.24,-4.69,306,"No",0.387052083
"07/04/22",4.24,-4.69,401,"No",0.406677083
"07/04/22",4.24,-4.69,402,"No",0.403625
"07/04/22",4.24,-4.69,403,"No",0.378947917
"07/04/22",4.24,-4.69,404,"No",0.3631875
"07/04/22",4.24,-4.69,405,"No",0.3766875
"07/04/22",4.24,-4.69,406,"No",0.382479167
"07/04/22",4.24,-4.69,501,"No",0.402947917
"07/04/22",4.24,-4.69,502,"No",0.408875
"07/04/22",4.24,-4.69,503,"No",0.386333333
"07/04/22",4.24,-4.69,504,"No",0.394875
"07/04/22",4.24,-4.69,505,"No",0.381260417
"07/04/22",4.24,-4.69,506,"No",0.381708333
"07/06/22",4.24,-4.97,101,"No",0.388322917
"07/06/22",4.24,-4.97,102,"No",0.342458333
"07/06/22",4.24,-4.97,103,"No",0.348135417
"07/06/22",4.24,-4.97,104,"Yes",0.339875
"07/06/22",4.24,-4.97,105,"No",0.284489583
"07/06/22",4.24,-4.97,106,"No",0.283020833
"07/06/22",4.24,-4.97,201,"No",0.390604167
"07/06/22",4.24,-4.97,202,"No",0.341052083
"07/06/22",4.24,-4.97,203,"No",0.334666667
"07/06/22",4.24,-4.97,204,"No",0.337072917
"07/06/22",4.24,-4.97,205,"No",0.33765625
"07/06/22",4.24,-4.97,206,"No",0.346947917
"07/06/22",4.24,-4.97,301,"No",0.392677083
"07/06/22",4.24,-4.97,302,"No",0.367489583
"07/06/22",4.24,-4.97,304,"No",0.357989583
"07/06/22",4.24,-4.97,305,"No",0.345802083
"07/06/22",4.24,-4.97,306,"No",0.367291667
"07/06/22",4.24,-4.97,401,"No",0.38975
"07/06/22",4.24,-4.97,402,"No",0.386541667
"07/06/22",4.24,-4.97,403,"No",0.357791667
"07/06/22",4.24,-4.97,404,"No",0.340697917
"07/06/22",4.24,-4.97,405,"No",0.35490625
"07/06/22",4.24,-4.97,406,"No",0.361114583
"07/06/22",4.24,-4.97,501,"No",0.3895
"07/06/22",4.24,-4.97,502,"No",0.391822917
"07/06/22",4.24,-4.97,503,"No",0.363229167
"07/06/22",4.24,-4.97,504,"No",0.376802083
"07/06/22",4.24,-4.97,505,"No",0.36359375
"07/06/22",4.24,-4.97,506,"No",0.365177083
"07/07/22",4.27,-5.06,305,"Yes",0.350447917
"07/08/22",4.35,-5.13,101,"No",0.384
"07/08/22",4.35,-5.13,102,"No",0.335083333
"07/08/22",4.35,-5.13,103,"No",0.3405625
"07/08/22",4.35,-5.13,104,"No",0.338229167
"07/08/22",4.35,-5.13,105,"No",0.277260417
"07/08/22",4.35,-5.13,106,"No",0.27071875
"07/08/22",4.35,-5.13,201,"No",0.386239583
"07/08/22",4.35,-5.13,202,"No",0.336802083
"07/08/22",4.35,-5.13,203,"No",0.324260417
"07/08/22",4.35,-5.13,204,"No",0.3288125
"07/08/22",4.35,-5.13,205,"No",0.329125
"07/08/22",4.35,-5.13,206,"No",0.336260417
"07/08/22",4.35,-5.13,301,"No",0.383572917
"07/08/22",4.35,-5.13,302,"No",0.357385417
"07/08/22",4.35,-5.13,303,"No",0.363979167
"07/08/22",4.35,-5.13,304,"No",0.352479167
"07/08/22",4.35,-5.13,305,"No",0.373354167
"07/08/22",4.35,-5.13,306,"No",0.363125
"07/08/22",4.35,-5.13,401,"No",0.3841875
"07/08/22",4.35,-5.13,402,"No",0.376958333
"07/08/22",4.35,-5.13,403,"No",0.350145833
"07/08/22",4.35,-5.13,404,"No",0.336510417
"07/08/22",4.35,-5.13,405,"No",0.348427083
"07/08/22",4.35,-5.13,406,"No",0.354260417
"07/08/22",4.35,-5.13,501,"No",0.38325
"07/08/22",4.35,-5.13,502,"No",0.388583333
"07/08/22",4.35,-5.13,503,"No",0.35309375
"07/08/22",4.35,-5.13,504,"No",0.373541667
"07/08/22",4.35,-5.13,505,"No",0.361708333
"07/08/22",4.35,-5.13,506,"No",0.368895833
"07/09/22",4.35,-5.32,104,"Yes",0.3369375
"07/10/22",4.46,-5.32,104,"Yes",0.35140625
"07/10/22",4.46,-5.32,303,"Yes",0.348291667
"07/10/22",4.46,-5.32,305,"Yes",0.354020833
"07/10/22",4.46,-5.32,505,"Yes",0.332604167
"07/11/22",4.46,-5.49,101,"No",0.3394375
"07/11/22",4.46,-5.49,102,"No",0.303447917
"07/11/22",4.46,-5.49,103,"No",0.30196875
"07/11/22",4.46,-5.49,104,"No",0.342375
"07/11/22",4.46,-5.49,105,"No",0.227322917
"07/11/22",4.46,-5.49,106,"No",0.214697917
"07/11/22",4.46,-5.49,201,"No",0.352739583
"07/11/22",4.46,-5.49,202,"No",0.297979167
"07/11/22",4.46,-5.49,203,"No",0.273333333
"07/11/22",4.46,-5.49,204,"No",0.279916667
"07/11/22",4.46,-5.49,205,"No",0.2839375
"07/11/22",4.46,-5.49,206,"No",0.28846875
"07/11/22",4.46,-5.49,301,"No",0.346114583
"07/11/22",4.46,-5.49,302,"No",0.324083333
"07/11/22",4.46,-5.49,303,"No",0.358666667
"07/11/22",4.46,-5.49,304,"No",0.322770833
"07/11/22",4.46,-5.49,305,"No",0.3590625
"07/11/22",4.46,-5.49,306,"No",0.322083333
"07/11/22",4.46,-5.49,401,"No",0.353510417
"07/11/22",4.46,-5.49,402,"No",0.338989583
"07/11/22",4.46,-5.49,403,"No",0.30328125
"07/11/22",4.46,-5.49,404,"No",0.293197917
"07/11/22",4.46,-5.49,405,"No",0.296770833
"07/11/22",4.46,-5.49,406,"No",0.304510417
"07/11/22",4.46,-5.49,501,"No",0.350083333
"07/11/22",4.46,-5.49,502,"No",0.361020833
"07/11/22",4.46,-5.49,503,"No",0.294947917
"07/11/22",4.46,-5.49,504,"No",0.333239583
"07/11/22",4.46,-5.49,505,"No",0.34046875
"07/11/22",4.46,-5.49,506,"No",0.3211875
"07/12/22",4.71,-5.4,104,"Yes",0.3181875
"07/12/22",4.71,-5.4,106,"Yes",0.19496875
"07/12/22",4.71,-5.4,301,"Yes",0.326145833
"07/12/22",4.71,-5.4,305,"Yes",0.335885417
"07/12/22",4.71,-5.4,404,"Yes",0.273635417
